Year,Country,Code,Response,Support,Significance (1-5; 5 as most significant activations),Start Date,End Date
2016,Philippines,PHL,Philippines Typhoon Haima,Remote & Deployed,3,Nov-16,Dec-16
2016,Iraq,IRQ,Iraq Mosul Operation,Remote,2,Nov-16,Nov-16
2016,Ukraine,UKR,Ukraine,Remote,2,Sep-16,Oct-16
2016,Angola,AGO,Angola Yellow Fever,Remote,1,May-16,Jul-16
2016,Canada,CAN,Canada Wildfires,Remote & Deployed,2,May-16,Jun-16
2016,Ecuador,ECU,Ecuador Earthquake,Remote & Deployed,3,Apr-16,Jul-16
2016,Panama,PAN,Zika Virus Outbreak,Remote & Deployed,3, February 2016, July 2016
2015-2016,Ethiopia,ETH,Ethiopia Drought,Remote,2, November 2015, January 2016
2015,Tanzania,TZA,Tanzania Cholera,Remote,1, October 2015, November 2015
2015-2016,,,Europe Population Movement,Remote & Deployed,4, September 2015,Feb-16
2015,Burundi,BDI,Burundi Population Movement ,Remote,2, May 2015, June 2015
2015,Nepal,NPL,Nepal Earthquake   ,Remote & Deployed,4, April 2015, September 2015
2015,Vanuatu,VUT,Vanuatu Cyclone Pam,Remote & Deployed,2, March 2015, April 2015
2015,Micronesia,FSM,Micronesia Typhoon Maysak ,Remote,1, March 2015, April 2015
2015,Malawi,MWI,Malawi Floods   ,Remote,1, January 2015, January 2015
2015,Cameroon,CMR,Cameroon Cholera ,Remote,1, December 2014, December 2014
2014,Iraq,IRQ,Iraq Population Movement,Remote & Deployed,3, August 2014,
2014,Serbia,SRB,BiH and Serbia Floods,Remote,2, May 2014, August 2014
2014,Solomon Islands,SLB,Solomon Islands Floods,Remote,1,Apr-14,May-14
2014-2016,Guinea,GIN,West Africa Ebola ,Remote & Deployed,5, March 2014, April 2016
2013,Philippines,PHL,Philippines Typhoon Haiyan,Remote & Deployed,5, November 2013, March 2014
2014,Canada,CAN,Canada Alberta Floods,Remote & Deployed,2,,
2013,Nigeria,NGA,Nigeria Floods,Remote,1,,
2013,,,SIMS Officially Established,,,,
2012,Democratic Republic of Congo,COD,DRC Population Movement,Remote,3,,
2012,Sierra Leone,SLE,Sierra Leone Cholera Outbreak,Remote & Deployed,3,Aug-12,
2011,Tunisia,TUN,Tunisia Population Movement,Deployed,3,,
